fold,repeat,n_fit,n_inner_val,n_outer_val,accuracy,balanced_accuracy,precision,recall,specificity,f1,f1_macro,auc,true_positives,true_negatives,false_positives,false_negatives
34,4,140,25,18,0.7818181818181819,0.7803030303030303,0.7083333333333334,0.7727272727272727,0.7878787878787878,0.7391304347826086,0.7758152173913043,0.8423630241812059,51,78,21,15
35,4,140,25,18,0.8242424242424242,0.8189917758148035,0.7794117647058824,0.7910447761194029,0.8469387755102041,0.7851851851851852,0.8182336182336183,0.873134328358209,53,83,15,14
36,4,140,25,18,0.7757575757575758,0.7805360950350289,0.6923076923076923,0.8059701492537313,0.7551020408163265,0.7448275862068966,0.7724137931034483,0.8738958269875114,54,74,24,13
37,4,140,25,18,0.806060606060606,0.8084069448674993,0.7333333333333333,0.8208955223880597,0.7959183673469388,0.7746478873239436,0.8022175606832485,0.8691745354858361,55,78,20,12
38,4,140,25,18,0.8121212121212121,0.8135089856838258,0.7432432432432432,0.8208955223880597,0.8061224489795918,0.7801418439716312,0.8080603399752335,0.8828815108132806,55,79,19,12
39,4,140,25,18,0.8424242424242424,0.841379835516296,0.7887323943661971,0.835820895522388,0.8469387755102041,0.8115942028985508,0.8380887681159421,0.8632348461772767,56,83,15,11
40,4,140,25,18,0.8181818181818182,0.8304142552543405,0.7228915662650602,0.8955223880597015,0.7653061224489796,0.8,0.8166666666666667,0.8930855924459337,60,75,23,7
41,5,139,25,19,0.7926829268292683,0.7968460111317255,0.7105263157894737,0.8181818181818182,0.7755102040816326,0.7605633802816901,0.7888838406784795,0.8633271490414347,54,76,22,12
42,5,139,25,19,0.7926829268292683,0.7943722943722944,0.7162162162162162,0.803030303030303,0.7857142857142857,0.7571428571428571,0.7881458966565349,0.8722943722943723,53,77,21,13
43,5,139,25,19,0.7926829268292683,0.7968460111317255,0.7105263157894737,0.8181818181818182,0.7755102040816326,0.7605633802816901,0.7888838406784795,0.8818800247371676,54,76,22,12
44,5,140,25,18,0.7575757575757576,0.7601010101010102,0.6710526315789473,0.7727272727272727,0.7474747474747475,0.7183098591549296,0.7527719508540606,0.8391490664217937,51,74,25,15
45,5,140,25,18,0.8303030303030303,0.8311757538836431,0.7671232876712328,0.835820895522388,0.826530612244898,0.8,0.8263157894736842,0.9008528784648188,56,81,17,11
46,5,140,25,18,0.7878787878787878,0.7931008224185196,0.7051282051282052,0.8208955223880597,0.7653061224489796,0.7586206896551724,0.7847157502329916,0.8822723119098385,55,75,23,12
47,5,140,25,18,0.8363636363636363,0.8386384404508072,0.7702702702702703,0.8507462686567164,0.826530612244898,0.8085106382978723,0.8328267477203647,0.9025281754492842,57,81,17,10
48,5,140,25,18,0.7818181818181819,0.7879987816021932,0.6962025316455697,0.8208955223880597,0.7551020408163265,0.7534246575342466,0.7788862418106015,0.8641486445324399,55,74,24,12
49,5,140,25,18,0.806060606060606,0.7989643618641487,0.7611940298507462,0.7611940298507462,0.8367346938775511,0.7611940298507462,0.7989643618641487,0.8705452330185806,51,82,16,16
50,5,140,25,18,0.793939393939394,0.7958422174840085,0.72,0.8059701492537313,0.7857142857142857,0.7605633802816901,0.7898561582259515,0.8726774291806275,54,77,21,13
